id;prix_total;prix_ht;prix_service;duree_projet;user_uuid
1;41235;6842;63714;24355;7ca9de50-956b-4b0a-831b-649a12cd55dc
2;17188;63372;56965;35220;a1a07079-52ce-49d5-9e81-d1b0107bc3f1
3;98921;26124;12806;28522;8be362c0-ec9f-4c9e-afbd-91f5d20b2977
4;86891;51417;85368;96514;f5d930b1-8501-4649-91c4-87625f86f4cd
5;99973;53231;8134;60253;9e6431be-b0cb-4112-8567-8350b1915f9d
6;92046;17580;84378;98727;a1744191-e5b7-4dd9-8e63-b8a65768dec0
7;29035;89433;80986;74579;4918cd90-2356-4f59-99b7-768ab5106faa
8;39127;43815;42315;53234;a07f482e-9ffa-442e-a639-debefb13555e
9;31512;2857;56939;79529;2193d28a-4db2-4abc-b69e-7d263fd056b8
10;60702;53660;20316;21716;4a4a0e07-7688-43f5-9056-8c4f2050605a
