id;nom_projet;date_debut;date_fin;technologies;status_projet;nombre_total;nombre_restant
1;Technicien;2023-06-19;2023-06-19;Account Pastourelle;EXECUTION;14815;52728
2;Account Coordinateur withdrawal;2023-06-19;2023-06-19;Administrateur Metal Account;EXECUTION;85757;63014
3;interface;2023-06-19;2023-06-19;Montorgueil;TERMINER;24855;54778
4;full-range;2023-06-19;2023-06-19;Bedfordshire;EXECUTION;89240;22833
5;granular b Books;2023-06-19;2023-06-19;fault-tolerant;COURS;12247;2525
6;Fresh;2023-06-19;2023-06-19;Industrial bypass b;TERMINER;7938;27922
7;compressing parse a;2023-06-19;2023-06-19;Cotton;ATTENTE;84580;44211
8;generating;2023-06-19;2023-06-20;up Fundamental next-generation;ATTENTE;91211;1216
9;Cotton Chair;2023-06-19;2023-06-19;Nigeria Grocery Stagiaire;EXECUTION;32417;35421
10;SSL Chips;2023-06-19;2023-06-19;Concrete;ATTENTE;84805;40424
