id;user_uuid;disponibilite;mission;debut_conge;fin_conge
1;4b3e09e8-ea61-4bb7-b004-59cbc39fd932;false;false;2023-06-18;2023-06-18
2;2e77961e-0e3c-4975-8eed-8c3a4d47849a;true;false;2023-06-18;2023-06-18
3;05db2ca5-7083-4bc8-a8b8-d14db2836889;false;true;2023-06-19;2023-06-18
4;d08a46c9-8985-4235-9dd6-713cc3068247;true;false;2023-06-18;2023-06-19
5;1857e709-c86e-4721-b207-4df01b4d84a9;true;false;2023-06-18;2023-06-18
6;a34d95b6-6047-4743-b11e-63afdabbcfaa;false;false;2023-06-18;2023-06-19
7;a00fe580-ce2c-4438-b1ee-88272131170d;false;true;2023-06-18;2023-06-18
8;7cce1c50-1271-441f-a768-411d00e6cd26;false;true;2023-06-18;2023-06-18
9;94c0a647-c3a2-4576-90a8-06165d749567;true;false;2023-06-18;2023-06-18
10;cea52924-af0b-41f5-af0b-6acda0efa4af;false;false;2023-06-18;2023-06-18
