id;user_uuid;titre;description;status_tache
1;32fddddb-cda4-45fb-8c3f-cec3395a8e00;Basse-Normandie Virtual;Gambie Seychelles;EXECUTION
2;f49e15a9-1b6f-4719-9cfc-18b5279a0b98;cross-platform Bedfordshire;Cambridgeshire;COURS
3;6d8fbd3a-fdca-4965-ac90-01fcfebff15e;invoice applications Superviseur;hub;COURS
4;005b3f9f-138c-4f7b-a474-1b70b431dd3f;Royaume-Uni;c orange Awesome;ATTENTE
5;ac098310-26e4-41dd-966c-fb18b4c685c5;Forint;Refined;EXECUTION
6;ec912938-e02c-4456-b1be-1333f4fce6b6;Tasty a;invoice Visionary;EXECUTION
7;a93e3cfb-59ad-4412-a8a5-5fc8a5b60f56;parse;action-items Incredible;EXECUTION
8;cea1321d-b540-4d8d-bb03-6e3c62354aad;tan;Unbranded Cambridgeshire Incredible;ATTENTE
9;01d30930-2d03-4eee-bf8b-13e30fec004b;synergies olive bypassing;withdrawal Steel lime;TERMINER
10;bd4f8bc3-e1a5-4c12-8bda-f322894d78b2;override Fully-configurable;Bourgogne;TERMINER
